,entrez_id,AveExpr,logFC,lfcSE,stat,P.Value,adj.P.Val,GeneLength,MGI.symbol,Human.EntrezID,HGNC.symbol
118,17954,635.605114052672,-5.09840361732161,0.24451704542511,-20.8509129024427,1.4954218974192e-96,2.4272725085822e-94,2606,Nap1l2,4674,NAP1L2
119,723876,507.226987413688,-5.73385350602633,0.2750337859829,-20.8478150621932,1.5954315720169e-96,2.56784041166719e-94,128,Mir486,619554,MIR486-1
120,14766,12353.651237302,4.00319930852884,0.192096376532147,20.8395357621902,1.89669087118613e-96,3.02727668798566e-94,3864,Adgrg1,9289,ADGRG1
121,231868,438.805540131549,-6.00421108431367,0.288171164882078,-20.8355721044146,2.06038530065704e-96,3.26136856723011e-94,2343,Ents15,79034,INTS15
122,117109,65656.8484409345,-3.37461409625349,0.161999352786547,-20.8310344344396,2.26515791322916e-96,3.55611225508837e-94,991,Pop5,51367,POP5
123,11480,1541.50422328523,6.87474150520512,0.331403917192722,20.7442976638301,1.38025439907576e-95,2.14926930939008e-93,5681,Acvr2a,92,ACVR2A
124,320538,1437.97879404571,4.50299465790702,0.217133687929935,20.7383511091105,1.56188376266952e-95,2.41248062148462e-93,14669,Ubn2,254048,UBN2
125,105439,708.696567338685,-4.94383483156514,0.238459211980532,-20.7324128537704,1.76704682294712e-95,2.7075398239925e-93,2743,Slain1,122060,SLAIN1
126,14464,1042.99064166524,7.51403338795694,0.364309149967988,20.6254314189397,1.62277055128703e-94,2.46674002926988e-92,3302,Gata5,140628,GATA5
127,227622,544.559569605208,-5.03633838649335,0.244217330685513,-20.6223627633487,1.72904743656703e-94,2.60759413799751e-92,975,Paxx,286257,PAXX
128,100039334,2614.82080127267,-4.15487091973077,0.201486597173755,-20.6210784142022,1.77556400766523e-94,2.6568263624072e-92,1682,NA,NA,NA
129,100306943,3262.67423665041,4.29443442330143,0.208540314466866,20.5928260647356,3.1825334681359e-94,4.72519872210906e-92,275,Scarna13,NA,NA
130,100502997,1689.61821627245,-4.97716577058196,0.242043488033278,-20.5631054610222,5.87499191507957e-94,8.65567078073223e-92,673,NA,NA,NA
131,100043274,1642.25262672761,-5.44945612020828,0.265175686527476,-20.5503611268812,7.63928200917797e-94,1.11690968184569e-91,340,NA,NA,NA
132,13555,1772.90227743715,-4.62728312941082,0.225226307388812,-20.5450383796536,8.52439168013491e-94,1.23687631704261e-91,2460,E2f1,1869,E2F1
133,68554,2230.23688352373,-4.38746373722319,0.214559454841683,-20.4487084498819,6.16869051797017e-93,8.88337815719419e-91,1513,Cebpzos,100505876,CEBPZOS
134,100861719,602.051231705799,-5.47715665244082,0.268268345174472,-20.4167086835336,1.18803666097627e-92,1.69809449012527e-90,549,NA,NA,NA
